,PI_low,PI_hi,date,actual
95,79.72193252109028,119.84430140782294,2021-10-21,87.54
96,74.33087088396017,111.96449489640356,2021-10-22,87.23
97,74.0713660389716,111.5851913614782,2021-10-25,88.25
98,74.9252254144424,112.83322900297794,2021-10-26,88.03
99,74.74105838257117,112.56404182314684,2021-10-27,86.83
100,65.76214931248869,95.13653285027071,2021-10-28,75.38
101,57.10923794919391,83.11941532836656,2021-10-29,64.4
102,48.823444630465254,71.6486457213618,2021-11-01,65.5
103,49.65338446460661,72.7972081593945,2021-11-02,70.7
104,53.576888327166365,78.22720995752735,2021-11-03,79.95
105,60.562947448052455,87.9139574373963,2021-11-04,73.93
106,56.014634043073144,81.60261327468275,2021-11-05,74.21
107,56.2259613664088,81.89524438224035,2021-11-08,78.36
108,59.361329919076994,86.24585122791741,2021-11-09,71.15
109,53.916493024307464,78.69737086977364,2021-11-10,71.44
110,51.62209224482963,80.62535887331998,2021-11-11,74.95
111,54.21163403367401,84.46949288876672,2021-11-12,74.5
112,53.87963859198908,83.97664981762611,2021-11-15,80.64
113,58.40962485081076,90.70142532113626,2021-11-16,94.6
114,68.7110368550472,106.00712306563466,2021-11-17,94.78
115,68.8438713492611,106.20452013878037,2021-11-18,93.99
116,68.26087869929377,105.33817309527709,2021-11-19,87.09
117,63.168978018418954,97.77142433993723,2021-11-22,84.78
118,61.46430015870477,95.23821521568237,2021-11-23,91.38
119,66.33481226465389,102.47596697514264,2021-11-24,93.9
120,65.37698100084232,99.92461707105329,2021-11-25,92.45
121,64.34602498886377,98.43710966704148,2021-11-26,87.53
122,60.84801849186813,93.39110063913213,2021-11-29,93.79
123,65.2987701105171,99.81177577608494,2021-11-30,91.65
124,63.777239468163785,97.61645244992744,2021-12-01,95.3
125,66.37239079900607,101.3608374748804,2021-12-02,92.4
126,64.31047540190289,98.3858187315196,2021-12-03,89.21
127,62.04245684151774,95.11346896367377,2021-12-06,89.35
128,62.141993323805956,95.25708122193274,2021-12-07,95.350006
129,66.40793251529269,101.41211997753695,2021-12-08,102.15001
130,75.09393500421776,116.96975969232692,2021-12-09,100.19999
131,73.64849804080822,114.78271519113045,2021-12-10,104.5
132,76.83585970558232,119.6054078911064,2021-12-13,116.55
133,85.76810298566474,133.12025850948578,2021-12-14,127.55
134,93.9225729796414,145.45697375560556,2021-12-15,129.6
135,95.44226919269633,147.75607529529742,2021-12-16,135.1
136,99.51968718286167,153.9258114107384,2021-12-17,135.3
137,99.66796337782283,154.15022682211603,2021-12-20,146.56
138,108.01628751713694,166.7851000757113,2021-12-21,180.41
139,133.1101233297766,204.7496910013685,2021-12-22,166.1
140,120.95098061486306,202.1948543885729,2021-12-23,126.1
141,91.77093020916756,153.86680384127553,2021-12-24,98.86
142,71.8998596542824,120.96175894109915,2021-12-29,96.0
143,69.8135457291007,117.50698156039807,2021-12-30,84.6
144,61.49745987163949,103.73614344514696,2021-12-31,65.1
145,47.29313762409818,80.29086646021958,2022-01-04,85.3
146,62.008100786092385,104.58172540113428,2022-01-05,94.41001
147,68.6536697589808,115.58630878640437,2022-01-06,97.33001
148,70.78375700136446,119.1135773259929,2022-01-07,87.34
149,63.49623222213644,107.04596493105123,2022-01-10,84.56
150,61.521049969031175,94.69453545936408,2022-01-11,80.65
151,58.66906082739937,90.56281656295559,2022-01-12,75.1
152,54.62109996011079,84.6992204430926,2022-01-13,84.48
153,61.46272012084296,94.60997349708552,2022-01-14,84.5
154,61.47730082604308,94.63110738191068,2022-01-17,75.73
155,55.08049603870544,85.36472024716026,2022-01-18,79.96
156,58.16572670963387,89.83375881530893,2022-01-19,74.28
157,54.02315415339259,83.83301282296227,2022-01-20,75.73
158,55.08049603870544,85.36472024716026,2022-01-21,79.9
159,58.12196491734782,89.77037121560895,2022-01-24,91.15
160,66.32681284862981,101.66155457587915,2022-01-25,91.7
161,66.72796762412189,102.24309958396987,2022-01-26,90.6
162,65.92564907808139,101.07999888615903,2022-01-27,90.35
163,65.74329876649139,100.81564936005533,2022-01-28,91.15
164,66.32681284862981,101.66155457587915,2022-01-31,84.13
